No,CATEGORY,shortDesc,description,finish,featured,fallback_image,SKU,Name,Dimensions,Weight,Stock,ImageUrl
1260,,,,Semi-Gloss Polish,FALSE,,PJA.32.31,BASE LEG,80 Cm + 71 Cm + 44 Cm,5,1,https://drive.google.com/uc?export=view&id=1jRi8CuaYUqHLsydxfPuVW05uM5WThTUa
1261,Furniture,,,Semi-Gloss Polish,FALSE,,31.1,PW BACKREST,65 Cm + 65 Cm + 74 Cm,320,1,https://drive.google.com/uc?export=view&id=11J9rdBrdurZxTgdIljAv3wQmyklyCEiF
1262,Furniture,,,Semi-Gloss Polish,FALSE,,31.2,PW BACKREST,61 Cm + 61 Cm + 72 Cm,313,1,https://drive.google.com/uc?export=view&id=1pDLVFQ0Y5-OF3C_cvBc0MYjJFg1rFzQa
1263,,,,Semi-Gloss Polish,FALSE,,31.3,PW BACKREST,62 Cm + 62 Cm + 74 Cm,306,0,https://drive.google.com/uc?export=view&id=11cmJBgwpV0QSfU_IZ0nr-TMWJwgLN7-t
1264,Furniture,,,Semi-Gloss Polish,FALSE,,31.6,PW BACKREST,62 Cm + 62 Cm + 70 Cm,250,1,https://drive.google.com/uc?export=view&id=1eWD-zeZVIuwvKaITTL2YhE7CXZqGwsdq
1265,Seater,,,Semi-Gloss Polish,FALSE,,PJA.3.6,STOOL FULL POLISH,39 Cm + 32 Cm + 45 Cm,111,1,https://drive.google.com/uc?export=view&id=1TlbqSBDrTCtPkVnct3XaZnfPYEjLIEaL
1266,,,,Semi-Gloss Polish,FALSE,,34.17,NATURE STONE LEG,46 Cm + 31 Cm + 35 Cm,101,0,https://drive.google.com/uc?export=view&id=15Bi3H9K2FcvSGmdXfrMiehQrkiGIelhB
,,,,,,,,, Cm +  Cm +  Cm,,0,
1268,,,,Semi-Gloss Polish,FALSE,,PJA.33.1,STOOL FULL POLISH,35 Cm + 25 Cm + 40 Cm,66,0,https://drive.google.com/uc?export=view&id=1tIIOpJqYjEgpcmDidnv7IpJe0IuXZuFS
1269,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.2,STOOL FULL POLISH,32 Cm + 26 Cm + 40 Cm,58,1,https://drive.google.com/uc?export=view&id=1QS9nIsCZ7CVUHEypEEXL-RrAqgoFVE-b
1270,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.3,STOOL FULL POLISH,32 Cm + 30 Cm + 40 Cm,67,1,https://drive.google.com/uc?export=view&id=1krCfqHbw7VeJJdIP1RkZCJBEBHn-pMpK
1271,,,,Semi-Gloss Polish,FALSE,,PJA.33.4,STOOL FULL POLISH,30 Cm + 28 Cm + 45 Cm,89,0,https://drive.google.com/uc?export=view&id=1I2oH42oWnOApCL8iMVSNE-2AAaSnEMWd
1272,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.5,STOOL FULL POLISH,35 Cm + 34 Cm + 45 Cm,100,1,https://drive.google.com/uc?export=view&id=1NdCMVTeU7tgRpCnhK_mVzc8yFLs2iYrI
1273,,,,Semi-Gloss Polish,FALSE,,PJA.33.6,STOOL FULL POLISH,34 Cm + 25 Cm + 45 Cm,78,0,https://drive.google.com/uc?export=view&id=1J_yxbmF0yCTygK8cmnCREUK_rJCtlgvR
1274,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.7,STOOL FULL POLISH,34 Cm + 31 Cm + 45 Cm,106,1,https://drive.google.com/uc?export=view&id=179k3QmXJifYhkf0UjYrzQnM4O7yNNwuW
1275,,,,Semi-Gloss Polish,FALSE,,PJA.33.8,STOOL FULL POLISH,30 Cm + 30 Cm + 45 Cm,77,0,https://drive.google.com/uc?export=view&id=1turlw5wmZaQ44IkcQqDEh7ajNJ2vv2e9
1276,Seater,,,Semi-Gloss Polish,FALSE,,PJA.33.9,STOOL FULL POLISH,33 Cm + 29 Cm + 46 Cm,78,1,https://drive.google.com/uc?export=view&id=181Mp3Gh_14DrWrfcqEV1ueZw7cRADVyP
